('SU002756кг', ['12,00', '54.692'], '51,860')
('SU002847кг', ['10,00', '45.640'], '43,160')
('SU002660шт', ['37,00', '83.176'], '222,000')
('SU002848шт', ['37,00', '82.732'], '222,000')
('SU002941кг', ['17,00', '87.518'], '82,928')
('SU002943кг', ['30,00', '154.838'], '146,738')
('SU002725кг', ['81,00', '692.501'], '648,761')
('SU002801шт', ['42,00', '111.720'], '252,000')
('SU002842шт', ['88,00', '234.080'], '528,000')
('SU002618шт', ['144,00', '383.040'], '864,000')
('SU002621шт', ['42,00', '111.720'], '252,000')
('SU002686шт', ['50,00', '132.400'], '300,000')
('SU002844шт', ['87,00', '231.420'], '522,000')
('SU002758шт', ['24,00', '63.840'], '144,000')
('SU003265кг', ['5,00', '59.820'], '57,420')
('SU003266шт', ['5,00', '21.200'], '50,000')
('SU003274шт', ['7,00', '29.680'], '70,000')
('SU001820кг', ['17,00', '74.117'], '70,105')
('SU000227кг', ['57,00', '483.932'], '452,468')
('SU001869шт', ['2,00', '5.620'], '30,000')
('SU000251кг', ['97,00', '1.554.225'], '1_508,150')
('SU001578кг', ['97,00', '1.551.385'], '1_505,310')
('SU003423кг', ['46,00', '737.560'], '715,710')
('SU000126кг', ['67,00', '1.040.983'], '1_012,073')
('SU002074кг', ['307,00', '2.670.595'], '2_501,131')
('SU002614кг', ['8,00', '36.180'], '34,292')
('SU002613кг', ['36,00', '161.625'], '153,129')
('SU003277шт', ['3,00', '4.020'], '60,000')
('SU003315шт', ['2,00', '4.280'], '40,000')
('SU003314шт', ['5,00', '15.900'], '100,000')
('SU002094кг', ['218,00', '1.228.780'], '1_152,480')
('SU002010кг', ['124,00', '698.260'], '654,860')
('SU002035кг', ['152,00', '857.330'], '804,130')
('SU002150кг', ['76,00', '427.290'], '400,690')
('SU002158кг', ['114,00', '644.623'], '603,583')
('SU002151кг', ['114,00', '643.592'], '602,552')

